,Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
99,592,2014,NBA,1,11,DEN,Doug McDermott,22.180,F,us,Creighton University,2015,2018,264,20.7,7.9,2.3,0.8,0.2,0.1,.452,.485,.403,.822,7.7,.068
100,593,2001,NBA,2,35,NJN,Brian Scalabrine,23.107,F,us,University of Southern California,2002,2012,520,13.0,3.1,2.0,0.8,0.3,0.2,.390,.415,.344,.783,7.6,.054
101,594,2014,NBA,1,12,ORL,Dario Saric,20.084,F,hr,,2017,2018,159,27.9,13.7,6.5,2.4,0.7,0.3,.431,.484,.355,.820,7.6,.082
102,595,2008,NBA,1,20,CHA,Alexis Ajinca,20.056,C,fr,,2009,2017,293,13.3,5.3,3.9,0.5,0.3,0.6,.503,.510,.286,.797,7.5,.093
103,596,2012,NBA,1,4,CLE,Dion Waiters,20.206,G,us,Syracuse University,2013,2018,365,28.7,13.3,2.7,2.8,1.0,0.3,.412,.441,.341,.701,7.5,.034
104,597,1993,NBA,1,13,LAC,Terry Dehere,21.297,G,us,Seton Hall University,1994,1999,402,18.2,8.0,1.5,2.6,0.5,0.1,.411,.427,.378,.779,7.3,.048
105,598,2007,NBA,1,1,POR,Greg Oden,19.162,C,us,Ohio State University,2009,2014,105,19.3,8.0,6.2,0.5,0.4,1.2,.574,.574,,.658,7.3,.174
106,599,2015,NBA,1,22,CHI,Bobby Portis,20.140,F,us,University of Arkansas,2016,2018,199,18.8,9.2,5.7,1.1,0.5,0.3,.463,.498,.345,.737,7.3,.094
107,600,2006,NBA,1,20,NYK,Renaldo Balkman,21.354,F,us,University of South Carolina,2007,2012,221,13.9,4.0,3.5,0.6,0.7,0.5,.510,.543,.172,.542,7.2,.113
0,601,2010,NBA,1,16,MIN,Luke Babbitt,21.009,F,us,"University of Nevada, Reno",2011,2018,381,14.0,4.8,2.2,0.6,0.2,0.2,.408,.417,.402,.747,7.2,.065
1,602,2011,NBA,1,20,MIN,Donatas Motiejunas,20.281,F-C,lt,,2013,2017,248,18.4,7.4,3.8,1.1,0.5,0.3,.469,.529,.300,.600,7.2,.076
2,603,2016,NBA,1,9,TOR,Jakob Poeltl,20.257,C,at,University of Utah,2017,2018,136,15.8,5.4,4.1,0.5,0.4,0.9,.641,.642,.500,.576,7.2,.161
