,Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
0,1,2003,NBA,1,1,CLE,LeBron James,18.182,F-G,us,,2004,2018,1143,38.8,27.2,7.4,7.2,1.6,0.8,.504,.547,.344,.739,219.4,.238
1,2,1997,NBA,1,1,SAS,Tim Duncan,21.066,F-C,vi,Wake Forest University,1998,2016,1392,34.0,19.0,10.8,3.0,0.7,2.2,.506,.509,.179,.696,206.4,.209
2,3,1998,NBA,1,9,MIL,Dirk Nowitzki,20.010,F,de,,1999,2018,1471,34.4,21.2,7.7,2.5,0.8,0.9,.472,.497,.383,.879,206.1,.196
3,4,1995,NBA,1,5,MIN,Kevin Garnett,19.044,F-C,us,,1996,2016,1462,34.5,17.8,10.0,3.7,1.3,1.4,.497,.504,.275,.789,191.4,.182
4,5,1992,NBA,1,1,ORL,Shaquille O'Neal,20.115,C,us,Louisiana State University,1993,2011,1207,34.7,23.7,10.9,2.5,0.6,2.3,.582,.583,.045,.527,181.7,.208
5,6,1996,NBA,1,13,CHH,Kobe Bryant,17.312,G-F,us,,1997,2016,1346,36.1,25.0,5.2,4.7,1.4,0.5,.447,.479,.329,.837,172.7,.170
6,7,2005,NBA,1,4,NOH,Chris Paul,20.058,G,us,Wake Forest University,2006,2018,892,35.3,18.7,4.5,9.8,2.3,0.1,.472,.505,.372,.868,164.8,.251
7,8,1998,NBA,1,10,BOS,Paul Pierce,20.259,F-G,us,University of Kansas,1999,2017,1343,34.2,19.7,5.6,3.5,1.3,0.6,.445,.478,.368,.806,150.0,.157
8,9,1996,NBA,1,5,MIN,Ray Allen,20.347,G,us,University of Connecticut,1997,2014,1300,35.6,18.9,4.1,3.4,1.1,0.2,.452,.485,.400,.894,145.1,.150
9,10,2001,NBA,1,3,ATL,Pau Gasol,20.361,F-C,es,,2002,2018,1196,34.0,17.4,9.3,3.2,0.5,1.6,.508,.512,.366,.754,143.0,.169
10,11,1994,NBA,1,2,DAL,Jason Kidd,21.103,G,us,University of California,1995,2013,1391,36.0,12.6,6.3,8.7,1.9,0.3,.400,.429,.349,.785,138.6,.133
11,12,2007,NBA,1,2,SEA,Kevin Durant,18.276,F-G,us,University of Texas at Austin,2008,2018,771,37.1,27.1,7.1,3.9,1.2,1.1,.490,.527,.384,.882,130.2,.219
12,13,1996,NBA,1,15,PHO,Steve Nash,22.145,G,za,Santa Clara University,1997,2014,1217,31.3,14.3,3.0,8.5,0.7,0.1,.490,.518,.428,.904,129.7,.164
13,14,2004,NBA,1,1,ORL,Dwight Howard,18.203,C,us,,2005,2018,1035,34.5,17.4,12.7,1.5,0.9,2.0,.583,.585,.095,.566,128.3,.172
14,15,1999,NBA,1,9,PHO,Shawn Marion,21.059,F,us,"University of Nevada, Las Vegas",2000,2015,1163,34.5,15.2,8.7,1.9,1.5,1.1,.484,.513,.331,.810,124.9,.150
15,16,1998,NBA,1,5,GSW,Vince Carter,21.154,G-F,us,University of North Carolina,1999,2018,1405,31.4,17.7,4.5,3.3,1.0,0.6,.437,.461,.373,.799,123.5,.134
16,17,1997,NBA,1,3,BOS,Chauncey Billups,20.278,G,us,University of Colorado,1998,2014,1043,31.6,15.2,2.9,5.4,1.0,0.2,.415,.435,.387,.894,120.8,.176
17,18,2003,NBA,1,5,MIA,Dwyane Wade,21.165,G,us,Marquette University,2004,2018,982,34.5,22.5,4.7,5.5,1.6,0.9,.483,.504,.287,.767,118.3,.168
18,19,2001,NBA,1,28,SAS,Tony Parker,19.046,G,be,,2002,2018,1198,31.1,15.8,2.8,5.7,0.9,0.1,.492,.511,.326,.752,110.4,.142
19,20,1999,NBA,1,1,CHI,Elton Brand,20.116,F,us,Duke University,2000,2016,1058,33.0,15.9,8.5,2.1,0.9,1.7,.500,.501,.095,.736,109.6,.151
22,21,2009,NBA,1,3,OKC,James Harden,19.308,G,us,Arizona State University,2010,2018,687,33.8,23.0,5.1,6.1,1.5,0.5,.443,.503,.364,.854,106.7,.220
23,22,1999,NBA,2,57,SAS,Manu Ginobili,21.342,G,ar,,2003,2018,1057,25.4,13.3,3.5,3.8,1.3,0.3,.447,.498,.369,.827,106.4,.190
24,23,2003,NBA,1,4,TOR,Chris Bosh,19.098,F-C,us,Georgia Institute of Technology,2004,2016,893,35.8,19.2,8.5,2.0,0.8,1.0,.494,.506,.335,.799,106.0,.159
25,24,1995,NBA,1,4,WSB,Rasheed Wallace,20.289,F-C,us,University of North Carolina,1996,2013,1109,32.7,14.4,6.7,1.8,1.0,1.3,.467,.508,.336,.721,105.1,.139
26,25,1999,NBA,1,10,ATL,Jason Terry,21.293,G,us,University of Arizona,2000,2018,1410,29.8,13.4,2.3,3.8,1.1,0.2,.444,.484,.380,.845,102.0,.116
27,26,1999,NBA,1,8,CLE,Andre Miller,23.108,G,us,University of Utah,2000,2016,1304,30.9,12.5,3.7,6.5,1.2,0.2,.461,.478,.217,.807,100.8,.120
28,27,2003,NBA,1,3,DEN,Carmelo Anthony,19.032,F,us,Syracuse University,2004,2018,1054,35.9,24.1,6.5,3.0,1.0,0.5,.449,.473,.347,.812,100.7,.128
29,28,1994,NBA,1,10,LAL,Eddie Jones,22.258,G-F,us,Temple University,1995,2008,954,34.4,14.8,4.0,2.9,1.7,0.6,.437,.474,.373,.809,100.6,.147
30,29,1994,NBA,1,3,DET,Grant Hill,21.272,F-G,us,Duke University,1995,2013,1026,33.9,16.7,6.0,4.1,1.2,0.6,.483,.493,.314,.769,99.9,.138
31,30,2001,NBA,1,2,LAC,Tyson Chandler,18.273,C,us,,2002,2018,1079,28.3,8.6,9.4,0.9,0.6,1.2,.596,.597,.000,.646,99.4,.156
32,31,1996,NBA,1,1,PHI,Allen Iverson,21.025,G,us,Georgetown University,1997,2010,914,41.1,26.7,3.7,6.2,2.2,0.2,.425,.448,.313,.780,99.0,.126
33,32,2006,NBA,1,2,CHI,LaMarcus Aldridge,20.349,F-C,us,University of Texas at Austin,2007,2018,869,34.6,19.4,8.3,1.9,0.8,1.1,.489,.494,.288,.806,97.6,.156
34,33,1997,NBA,1,9,TOR,Tracy McGrady,18.037,F-G,us,,1998,2012,938,32.7,19.6,5.6,4.4,1.2,0.9,.435,.461,.338,.746,97.3,.152
35,34,2009,NBA,1,7,GSW,Stephen Curry,21.108,G,us,Davidson College,2010,2018,625,34.4,23.1,4.4,6.8,1.8,0.2,.477,.513,.436,.903,93.3,.208
36,35,2002,NBA,1,9,PHO,Amar'e Stoudemire,19.227,F-C,us,,2003,2016,846,31.0,18.9,7.8,1.2,0.8,1.2,.537,.540,.236,.761,92.5,.169
37,36,2004,NBA,1,9,PHI,Andre Iguodala,20.153,G-F,us,University of Arizona,2005,2018,1040,34.1,12.6,5.2,4.4,1.5,0.5,.465,.516,.333,.713,92.1,.125
38,37,1998,NBA,2,32,SEA,Rashard Lewis,18.325,F,us,,1999,2014,1049,32.0,14.9,5.2,1.7,1.1,0.5,.452,.491,.386,.805,90.9,.130
39,38,2008,NBA,1,4,SEA,Russell Westbrook,19.231,G,us,"University of California, Los Angeles",2009,2018,748,34.4,23.0,6.6,8.2,1.7,0.3,.435,.464,.311,.814,90.1,.168
40,39,1992,NBA,2,29,NJN,P.J. Brown,22.259,F-C,us,Louisiana Tech University,1994,2008,1089,31.1,9.1,7.7,1.5,0.8,1.0,.460,.463,.136,.794,89.8,.128
41,40,1992,NBA,1,2,CHH,Alonzo Mourning,22.142,C,us,Georgetown University,1993,2008,838,31.0,17.1,8.5,1.1,0.5,2.8,.527,.530,.247,.692,89.7,.166
44,41,1998,NBA,1,4,TOR,Antawn Jamison,22.017,F,us,University of North Carolina,1999,2014,1083,34.8,18.5,7.5,1.6,1.0,0.4,.451,.477,.346,.724,87.8,.112
45,42,1993,NBA,1,24,HOU,Sam Cassell,23.230,G,us,Florida State University,1994,2008,993,30.0,15.7,3.2,6.0,1.1,0.2,.454,.477,.331,.861,87.5,.141
46,43,2003,NBA,1,18,NOH,David West,22.306,F-C,us,Xavier University,2004,2018,1034,28.2,13.6,6.4,2.2,0.7,0.8,.495,.499,.265,.817,85.9,.141
47,44,1995,NBA,1,21,PHO,Michael Finley,22.119,G-F,us,University of Wisconsin,1996,2010,1103,34.4,15.7,4.4,2.9,0.9,0.3,.444,.467,.375,.811,85.2,.108
48,45,1993,NBA,1,1,ORL,Chris Webber,20.126,F-C,us,University of Michigan,1994,2008,831,37.1,20.7,9.8,4.2,1.4,1.4,.479,.490,.299,.649,84.7,.132
49,46,2001,NBA,1,13,HOU,Richard Jefferson,21.011,F,us,University of Arizona,2002,2018,1181,29.0,12.6,4.0,2.0,0.7,0.3,.464,.493,.376,.768,83.0,.116
50,47,2001,NBA,1,10,BOS,Joe Johnson,20.003,G-F,us,University of Arkansas,2002,2018,1276,34.7,16.0,4.0,3.9,0.8,0.2,.441,.472,.371,.802,82.8,.090
51,48,1996,NBA,1,14,SAC,Peja Stojakovic,19.022,F-G,hr,,1999,2011,804,33.5,17.0,4.7,1.8,0.9,0.1,.450,.484,.401,.895,82.6,.147
52,49,2006,NBA,2,47,UTA,Paul Millsap,21.143,F,us,Louisiana Tech University,2007,2018,875,29.5,14.2,7.4,2.3,1.3,1.0,.491,.513,.330,.734,82.1,.153
53,50,1996,NBA,1,2,TOR,Marcus Camby,22.102,C-F,us,University of Massachusetts Amherst,1997,2013,973,29.5,9.5,9.8,1.9,1.0,2.4,.466,.469,.205,.670,81.6,.137
54,51,2001,NBA,1,19,POR,Zach Randolph,19.351,F-C,us,Michigan State University,2002,2018,1116,31.0,16.6,9.1,1.8,0.7,0.3,.471,.481,.273,.764,81.1,.112
55,52,2002,NBA,2,35,CLE,Carlos Boozer,20.223,F-C,de,Duke University,2003,2015,861,31.2,16.2,9.5,2.2,0.9,0.4,.521,.522,.071,.722,80.3,.143
56,53,2006,NBA,1,24,MEM,Kyle Lowry,20.100,G,us,Villanova University,2007,2018,791,31.1,14.4,4.2,5.9,1.3,0.3,.425,.466,.370,.803,80.0,.156
57,54,2007,NBA,1,3,ATL,Al Horford,21.030,C-F,do,University of Florida,2008,2018,718,33.2,14.2,8.6,3.2,0.8,1.2,.525,.541,.370,.750,78.3,.158
58,55,1996,NBA,1,4,MIL,Stephon Marbury,19.131,G,us,Georgia Institute of Technology,1997,2009,846,37.7,19.3,3.0,7.6,1.2,0.1,.433,.465,.325,.784,77.5,.117
59,56,2005,NBA,1,3,UTA,Deron Williams,21.007,G,us,University of Illinois at Urbana-Champaign,2006,2017,845,34.2,16.3,3.1,8.1,1.0,0.2,.445,.482,.357,.822,77.3,.129
60,57,1999,NBA,1,4,LAC,Lamar Odom,19.241,F,us,University of Rhode Island,2000,2013,961,33.4,13.3,8.4,3.7,0.9,0.9,.463,.502,.312,.693,77.0,.115
61,58,2008,NBA,1,5,MEM,Kevin Love,19.297,F,us,"University of California, Los Angeles",2009,2018,635,32.2,18.3,11.3,2.3,0.7,0.5,.444,.478,.370,.824,76.9,.181
62,59,2008,NBA,2,35,LAC,DeAndre Jordan,19.345,C,us,Texas A&M University,2009,2018,750,28.1,9.4,10.7,0.7,0.6,1.7,.673,.674,.091,.446,76.3,.174
63,60,2005,NBA,1,30,NYK,David Lee,22.066,F,us,University of Florida,2006,2017,829,29.3,13.5,8.8,2.2,0.8,0.4,.535,.537,.034,.772,76.0,.150
66,61,2001,NBA,1,6,MEM,Shane Battier,22.297,F,us,Duke University,2002,2014,977,30.7,8.6,4.2,1.8,1.0,0.9,.437,.486,.384,.743,75.7,.121
67,62,1999,NBA,1,24,UTA,Andrei Kirilenko,18.136,F,ru,,2002,2015,797,30.0,11.8,5.5,2.7,1.4,1.8,.474,.510,.310,.754,75.4,.151
68,63,2007,NBA,2,48,LAL,Marc Gasol,22.155,C,es,,2009,2018,716,33.7,15.2,7.7,3.3,0.9,1.5,.487,.499,.344,.779,73.5,.146
69,64,1998,NBA,1,2,VAN,Mike Bibby,20.047,G,us,University of Arizona,1999,2012,1001,33.9,14.7,3.1,5.5,1.2,0.1,.436,.463,.379,.802,73.2,.104
70,65,2004,NBA,1,7,PHO,Luol Deng,19.074,F,ss,Duke University,2005,2018,880,34.7,15.0,6.1,2.3,1.0,0.5,.455,.481,.332,.770,73.2,.115
71,66,2002,NBA,1,7,NYK,Nene Hilario,19.291,F-C,br,,2003,2018,923,26.8,11.7,6.2,1.8,1.1,0.8,.548,.551,.140,.660,71.9,.140
72,67,1996,NBA,1,3,VAN,Shareef Abdur-Rahim,19.202,F,us,University of California,1997,2008,830,34.8,18.1,7.5,2.5,1.0,0.8,.472,.480,.297,.810,71.2,.118
73,68,2004,NBA,1,15,BOS,Al Jefferson,19.176,C-F,us,,2005,2018,915,28.7,15.7,8.4,1.5,0.7,1.2,.499,.501,.121,.711,71.0,.130
74,69,1995,NBA,1,15,DEN,Brent Barry,23.185,G,us,Oregon State University,1996,2009,912,25.9,9.3,3.0,3.2,1.0,0.3,.460,.525,.405,.823,70.5,.143
75,70,1995,NBA,1,2,LAC,Antonio McDyess,20.299,F-C,us,University of Alabama,1996,2011,1015,27.6,12.0,7.5,1.3,0.8,1.1,.497,.499,.117,.670,69.8,.119
76,71,2003,NBA,2,51,NJN,Kyle Korver,22.106,G-F,us,Creighton University,2004,2018,1104,26.2,9.9,3.0,1.8,0.7,0.3,.444,.464,.431,.881,68.7,.114
77,72,2009,NBA,1,1,LAC,Blake Griffin,20.106,F,us,University of Oklahoma,2011,2018,529,35.0,21.5,9.2,4.3,0.9,0.5,.508,.522,.324,.683,67.3,.174
78,73,1992,NBA,1,11,HOU,Robert Horry,21.309,F,us,University of Alabama,1993,2008,1107,24.5,7.0,4.8,2.1,1.0,0.9,.425,.469,.341,.726,66.3,.118
79,74,1996,NBA,1,20,CLE,Zydrunas Ilgauskas,21.027,C,lt,,1998,2011,843,27.2,13.0,7.3,1.1,0.5,1.6,.476,.478,.310,.780,66.3,.139
80,75,1996,NBA,1,17,POR,Jermaine O'Neal,17.261,F-C,us,,1997,2014,1011,27.1,13.2,7.2,1.4,0.5,1.8,.467,.469,.147,.715,66.0,.116
81,76,2002,NBA,1,1,HOU,Yao Ming,21.292,C,cn,,2003,2011,486,32.5,19.0,9.2,1.6,0.4,1.9,.524,.525,.200,.833,65.9,.200
82,77,1992,NBA,1,3,MIN,Christian Laettner,22.317,F-C,us,Duke University,1993,2005,868,29.7,12.8,6.7,2.6,1.1,0.8,.480,.490,.261,.820,64.9,.121
83,78,1995,NBA,1,10,MIA,Kurt Thomas,22.272,F,us,Texas Christian University,1996,2013,1110,24.5,8.1,6.6,1.1,0.7,0.8,.486,.487,.281,.760,64.2,.114
84,79,2007,NBA,1,4,MEM,Mike Conley,19.265,G,us,Ohio State University,2008,2018,718,32.5,14.3,2.9,5.7,1.5,0.2,.441,.468,.377,.814,63.4,.130
85,80,2000,NBA,1,16,SAC,Hedo Turkoglu,21.107,F,tr,,2001,2015,997,26.8,11.1,4.0,2.8,0.8,0.3,.426,.450,.384,.784,63.3,.114
88,81,1999,NBA,1,3,CHH,Baron Davis,20.083,G,us,"University of California, Los Angeles",2000,2012,835,34.2,16.1,3.8,7.2,1.8,0.4,.409,.456,.320,.711,63.1,.106
89,82,2002,NBA,1,23,DET,Tayshaun Prince,22.124,F,us,University of Kentucky,2003,2016,1017,31.0,11.1,4.3,2.4,0.6,0.5,.455,.470,.367,.756,63.1,.096
90,83,1999,NBA,1,7,WAS,Richard Hamilton,21.141,G-F,us,University of Connecticut,2000,2013,921,32.1,17.1,3.1,3.4,0.8,0.1,.449,.463,.346,.852,62.8,.102
91,84,2012,NBA,1,1,NOH,Anthony Davis,19.114,F-C,us,University of Kentucky,2013,2018,410,34.8,23.4,10.3,1.9,1.3,2.4,.517,.531,.309,.795,62.5,.210
92,85,1996,NBA,1,24,LAL,Derek Fisher,21.327,G,us,University of Arkansas at Little Rock,1997,2014,1287,25.4,8.3,2.1,3.0,1.1,0.1,.399,.413,.374,.817,62.3,.091
93,86,1999,NBA,1,13,SEA,Corey Maggette,19.235,F,us,Duke University,2000,2013,827,28.2,16.0,4.9,2.1,0.7,0.2,.453,.478,.324,.822,62.2,.128
94,87,1993,NBA,1,3,GSW,Anfernee Hardaway,21.353,G-F,us,University of Memphis,1994,2008,704,33.7,15.2,4.5,5.0,1.6,0.4,.458,.489,.316,.774,61.9,.125
95,88,2004,NBA,1,26,SAC,Kevin Martin,21.149,G,us,Western Carolina University,2005,2016,714,30.2,17.4,3.2,1.9,0.9,0.1,.437,.464,.384,.870,61.3,.137
96,89,1999,NBA,1,16,CHI,Metta World Peace,19.234,F,us,St. John's University,2000,2017,991,31.7,13.2,4.5,2.7,1.7,0.5,.414,.447,.339,.715,61.1,.093
97,90,2000,NBA,1,5,ORL,Mike Miller,20.135,F-G,us,University of Florida,2001,2017,1032,26.9,10.6,4.2,2.6,0.6,0.2,.459,.502,.407,.769,60.7,.105
98,91,2000,NBA,1,8,CLE,Jamal Crawford,20.105,G,us,University of Michigan,2001,2018,1262,29.9,15.0,2.3,3.4,0.9,0.2,.410,.449,.349,.862,60.5,.077
99,92,1995,NBA,1,1,GSW,Joe Smith,19.342,F,us,University of Maryland,1996,2011,1030,26.2,10.9,6.4,1.0,0.6,0.8,.455,.458,.238,.790,60.3,.107
100,93,2005,NBA,2,57,PHO,Marcin Gortat,21.137,C-F,pl,,2008,2018,759,26.3,10.2,8.1,1.1,0.5,1.1,.552,.553,.150,.678,59.9,.144
101,94,2001,NBA,1,25,SAC,Gerald Wallace,18.344,F,us,University of Alabama,2002,2015,832,29.7,11.9,5.8,2.1,1.4,0.8,.469,.502,.312,.709,59.7,.116
102,95,2007,NBA,1,9,CHI,Joakim Noah,22.128,C,us,University of Florida,2008,2018,625,28.6,8.9,9.3,2.9,0.8,1.3,.490,.492,.000,.699,59.6,.160
103,96,1994,NBA,1,5,WSB,Juwan Howard,21.147,F,us,University of Michigan,1995,2013,1208,30.3,13.4,6.1,2.2,0.7,0.3,.469,.470,.120,.764,59.4,.078
104,97,2001,NBA,1,5,GSW,Jason Richardson,20.163,G,us,Michigan State University,2002,2015,857,34.1,17.1,5.0,2.7,1.2,0.4,.438,.474,.370,.707,59.1,.097
105,98,1994,NBA,1,4,MIN,Donyell Marshall,21.047,F,us,University of Connecticut,1995,2009,957,26.2,11.2,6.7,1.4,0.8,0.9,.435,.468,.350,.731,59.0,.113
106,99,2005,NBA,1,2,ATL,Marvin Williams,19.014,F,us,University of North Carolina,2006,2018,939,28.6,10.5,5.3,1.3,0.8,0.5,.444,.480,.361,.808,58.9,.105
107,100,2002,NBA,1,3,GSW,Mike Dunleavy,21.289,F-G,us,Duke University,2003,2017,986,27.7,11.2,4.3,2.2,0.7,0.3,.441,.481,.377,.803,58.5,.103
0,101,1992,NBA,1,9,PHI,Clarence Weatherspoon,21.295,F,us,University of Southern Mississippi,1993,2005,915,30.3,11.5,7.5,1.5,1.0,0.9,.471,.473,.196,.743,58.4,.101
1,102,2011,NBA,1,30,CHI,Jimmy Butler,21.287,F-G,us,Marquette University,2012,2018,458,32.8,16.4,4.9,3.4,1.5,0.5,.452,.485,.339,.832,58.2,.186
2,103,2012,NBA,1,6,POR,Damian Lillard,21.354,G,us,Weber State University,2013,2018,469,36.4,23.1,4.1,6.2,0.9,0.3,.432,.477,.368,.884,58.2,.164
3,104,2008,NBA,1,24,SEA,Serge Ibaka,18.286,F-C,cg,,2010,2018,679,28.9,12.1,7.2,0.7,0.4,2.2,.512,.542,.367,.761,57.8,.141
4,105,2004,NBA,2,43,NYK,Trevor Ariza,18.364,F,us,"University of California, Los Angeles",2005,2018,942,29.5,10.5,4.8,2.1,1.5,0.3,.424,.481,.353,.723,57.4,.099
5,106,2008,NBA,1,26,SAS,George Hill,22.059,G,us,Indiana University-Purdue University Indianapolis,2009,2018,666,28.8,11.6,3.2,3.3,0.9,0.3,.453,.493,.383,.800,57.1,.143
6,107,2006,NBA,1,21,PHO,Rajon Rondo,20.131,G,us,University of Kentucky,2007,2018,779,31.8,10.5,4.8,8.5,1.7,0.1,.463,.486,.309,.604,57.0,.111
7,108,1992,NBA,1,24,GSW,Latrell Sprewell,21.295,G,us,University of Alabama,1993,2005,913,38.6,18.3,4.1,4.0,1.4,0.4,.425,.451,.337,.804,56.3,.077
8,109,2011,NBA,1,15,IND,Kawhi Leonard,19.364,F,us,San Diego State University,2012,2018,407,30.4,16.3,6.2,2.3,1.8,0.7,.495,.537,.386,.846,56.3,.219
9,110,1993,NBA,2,37,LAL,Nick Van Exel,21.221,G,us,University of Cincinnati,1994,2006,880,32.9,14.4,2.9,6.6,0.8,0.1,.405,.433,.357,.794,55.9,.093
10,111,2000,NBA,2,43,MIL,Michael Redd,20.314,G,us,Ohio State University,2001,2012,629,32.0,19.0,3.8,2.1,0.9,0.1,.447,.475,.380,.838,55.9,.134
11,112,1992,NBA,1,17,SEA,Doug Christie,22.052,G-F,us,Pepperdine University,1993,2007,827,31.5,11.2,4.1,3.6,1.9,0.5,.426,.456,.354,.821,55.7,.102
12,113,1995,NBA,1,7,TOR,Damon Stoudamire,21.303,G,us,University of Arizona,1996,2008,878,33.2,13.4,3.5,6.1,1.1,0.1,.406,.430,.357,.833,55.4,.091
13,114,1993,NBA,1,11,DET,Allan Houston,22.077,G,us,University of Tennessee,1994,2005,839,33.7,17.3,2.9,2.4,0.7,0.2,.444,.460,.402,.863,55.3,.094
14,115,2001,NBA,2,38,DET,Mehmet Okur,22.038,C-F,tr,,2003,2012,634,29.1,13.5,7.0,1.7,0.5,0.7,.458,.484,.375,.797,54.7,.142
15,116,1994,NBA,1,8,SAC,Brian Grant,22.121,F,us,Xavier University,1995,2006,756,28.3,10.5,7.4,1.2,0.6,0.7,.490,.491,.214,.746,54.5,.122
16,117,2005,NBA,2,45,PHI,Louis Williams,18.249,G,us,,2006,2018,861,24.4,13.7,2.1,3.1,0.9,0.2,.420,.461,.348,.834,54.3,.124
17,118,2005,NBA,2,56,DET,Amir Johnson,18.063,F-C,us,,2006,2018,819,21.7,7.2,5.5,1.2,0.6,1.0,.572,.588,.337,.670,54.2,.146
18,119,1999,NBA,1,2,VAN,Steve Francis,22.134,G,us,University of Maryland,2000,2008,576,37.6,18.1,5.6,6.0,1.5,0.4,.429,.451,.341,.797,54.1,.120
19,120,2009,NBA,1,9,TOR,DeMar DeRozan,19.327,G-F,us,University of Southern California,2010,2018,675,34.1,19.7,4.1,3.1,1.0,0.3,.448,.467,.289,.827,54.0,.113
22,121,2004,NBA,1,5,WAS,Devin Harris,21.123,G,us,University of Wisconsin,2005,2018,917,25.0,11.1,2.2,4.1,1.1,0.2,.434,.481,.327,.798,53.4,.112
23,122,2008,NBA,1,10,NJN,Brook Lopez,20.091,C,us,Stanford University,2009,2018,636,31.2,17.9,6.8,1.6,0.6,1.7,.502,.517,.335,.789,53.4,.129
24,123,2010,NBA,1,10,IND,Paul George,20.058,F,us,"California State University, Fresno",2011,2018,527,33.4,18.6,6.2,3.2,1.7,0.4,.432,.468,.376,.844,53.4,.146
25,124,1999,NBA,1,6,MIN,Wally Szczerbiak,22.122,F,es,Miami University,2000,2009,651,30.8,14.1,4.0,2.4,0.6,0.2,.485,.505,.406,.860,53.3,.127
26,125,2006,NBA,1,11,ORL,J.J. Redick,22.009,G,us,Duke University,2007,2018,760,25.4,12.4,2.0,2.0,0.5,0.1,.449,.482,.415,.890,53.1,.132
27,126,1996,NBA,1,10,IND,Erick Dampier,20.353,C,us,Mississippi State University,1997,2012,987,24.3,7.4,7.1,0.8,0.3,1.4,.498,.499,.125,.626,52.7,.105
28,127,2007,NBA,1,12,PHI,Thaddeus Young,19.011,F,us,Georgia Institute of Technology,2008,2018,820,30.7,13.4,5.9,1.6,1.5,0.4,.499,.521,.326,.675,52.7,.100
29,128,2003,NBA,1,7,CHI,Kirk Hinrich,22.180,G,us,University of Kansas,2004,2016,879,30.7,10.9,2.9,4.8,1.1,0.3,.411,.432,.375,.800,52.5,.093
30,129,1995,NBA,1,3,PHI,Jerry Stackhouse,20.240,G-F,us,University of North Carolina,1996,2013,970,31.2,16.9,3.2,3.3,0.9,0.5,.409,.441,.309,.822,52.4,.083
31,130,1998,NBA,2,41,HOU,Cuttino Mobley,22.302,G,us,University of Rhode Island,1999,2009,747,37.0,16.0,3.9,2.7,1.2,0.4,.433,.455,.378,.835,52.2,.091
32,131,1999,NBA,1,18,DEN,James Posey,22.173,F-G,us,Xavier University,2000,2011,864,26.9,8.6,4.7,1.6,1.1,0.3,.410,.467,.349,.820,51.6,.107
33,132,2003,NBA,1,21,ATL,Boris Diaw,21.076,F-C,fr,,2004,2017,1064,27.0,8.6,4.4,3.5,0.6,0.5,.493,.529,.336,.717,51.6,.086
34,133,2001,NBA,1,26,PHI,Samuel Dalembert,20.053,C,ht,Seton Hall University,2002,2015,886,24.4,7.7,7.8,0.5,0.5,1.7,.521,.522,.083,.706,51.3,.114
35,134,2001,NBA,2,31,GSW,Gilbert Arenas,19.177,G,us,University of Arizona,2002,2012,552,35.1,20.7,3.9,5.3,1.6,0.2,.421,.458,.351,.803,51.3,.127
36,135,2004,NBA,1,17,ATL,Josh Smith,18.206,F,us,,2005,2018,894,32.4,14.5,7.4,3.1,1.2,1.9,.452,.480,.285,.632,51.0,.084
37,136,2002,NBA,1,10,MIA,Caron Butler,22.110,F,us,University of Connecticut,2003,2016,881,32.2,14.1,5.0,2.3,1.3,0.2,.434,.456,.348,.847,50.9,.086
38,137,2006,NBA,1,8,HOU,Rudy Gay,19.320,F,us,University of Connecticut,2007,2018,810,34.6,17.9,5.9,2.2,1.3,0.8,.453,.480,.343,.795,50.5,.086
39,138,2008,NBA,1,25,HOU,Nicolas Batum,19.199,F-G,fr,,2009,2018,692,31.6,12.1,5.3,3.8,1.0,0.6,.434,.502,.355,.839,50.4,.111
40,139,2001,NBA,1,14,GSW,Troy Murphy,21.061,F-C,us,University of Notre Dame,2002,2013,729,27.3,10.8,7.8,1.5,0.7,0.4,.445,.464,.388,.785,50.3,.121
41,140,2003,NBA,2,42,ORL,Zaza Pachulia,19.141,C,ge,,2004,2018,1030,20.7,6.9,5.9,1.3,0.7,0.4,.470,.473,.000,.750,50.3,.113
44,141,2005,NBA,1,1,MIL,Andrew Bogut,20.217,C,au,University of Utah,2006,2018,694,28.4,9.8,8.7,2.2,0.6,1.6,.535,.537,.120,.556,50.3,.122
45,142,2008,NBA,2,45,SAS,Goran Dragic,22.057,G,si,,2009,2018,722,28.0,13.7,3.1,4.8,1.0,0.2,.469,.510,.364,.762,49.4,.117
46,143,2011,NBA,1,1,CLE,Kyrie Irving,19.096,G,au,Duke University,2012,2018,441,33.9,22.0,3.4,5.5,1.3,0.3,.462,.493,.388,.875,49.3,.158
47,144,2010,NBA,1,7,DET,Greg Monroe,20.025,C-F,us,Georgetown University,2011,2018,589,28.9,13.7,8.6,2.3,1.1,0.6,.515,.516,.000,.707,48.6,.137
48,145,2005,NBA,1,17,IND,Danny Granger,22.075,F,us,University of New Mexico,2006,2015,586,31.5,16.8,4.9,1.9,1.0,0.8,.434,.463,.380,.848,48.5,.126
49,146,2004,NBA,1,20,DEN,Jameer Nelson,22.141,G,us,Saint Joseph's University,2005,2018,878,27.9,11.3,3.0,5.1,0.9,0.1,.436,.474,.368,.810,48.3,.094
50,147,2000,NBA,1,1,NJN,Kenyon Martin,22.186,F,us,University of Cincinnati,2001,2015,757,30.6,12.3,6.8,1.9,1.2,1.1,.483,.492,.234,.629,48.0,.100
51,148,1995,NBA,1,18,DET,Theo Ratliff,22.077,C-F,us,University of Wyoming,1996,2011,810,25.3,7.2,5.7,0.6,0.5,2.4,.496,.496,.000,.710,47.9,.112
